timestamp,open,high,low,close,volume
2025-03-04T00:38:00Z,293.0897,293.0897,293.0897,293.0897,137
2025-03-04T00:44:00Z,291.1000,291.1000,291.1000,291.1000,100
2025-03-04T00:54:00Z,291.4221,293.0000,291.4221,293.0000,591
2025-03-04T00:55:00Z,293.0100,293.0100,293.0000,293.0000,502
2025-03-04T10:38:00Z,292.5600,292.5600,292.5600,292.5600,188
2025-03-04T12:17:00Z,291.5500,291.5500,291.5500,291.5500,558
2025-03-04T12:23:00Z,291.0000,291.0000,291.0000,291.0000,203
2025-03-04T12:24:00Z,290.6000,290.6000,290.6000,290.6000,2923
2025-03-04T12:28:00Z,290.1100,290.1100,290.1100,290.1100,324
2025-03-04T12:30:00Z,290.0000,290.0000,290.0000,290.0000,1110
2025-03-04T12:32:00Z,290.1000,290.1000,290.1000,290.1000,673
2025-03-04T12:34:00Z,290.1600,290.1600,290.1000,290.1000,603
2025-03-04T12:37:00Z,290.4700,290.4700,290.4700,290.4700,198
2025-03-04T12:39:00Z,290.2500,290.2500,290.2500,290.2500,500
2025-03-04T12:44:00Z,290.2700,290.2700,290.2700,290.2700,1068
2025-03-04T13:00:00Z,290.0100,292.6200,290.0100,291.4400,16459
2025-03-04T13:03:00Z,290.1472,290.1472,290.1472,290.1472,113
2025-03-04T13:04:00Z,291.0000,291.0000,290.1000,290.1000,1596
2025-03-04T13:08:00Z,290.0000,290.0000,290.0000,290.0000,589
2025-03-04T13:09:00Z,289.9800,290.0000,289.6000,290.0000,1197
2025-03-04T13:13:00Z,290.4400,290.4400,290.4400,290.4400,437
2025-03-04T13:14:00Z,290.0900,290.0900,290.0900,290.0900,340
2025-03-04T13:16:00Z,290.4885,290.4885,290.4885,290.4885,346
2025-03-04T13:17:00Z,290.6000,290.6000,290.6000,290.6000,350
2025-03-04T13:20:00Z,290.5100,290.5100,290.5100,290.5100,336
2025-03-04T13:21:00Z,290.4600,290.4600,290.4500,290.4500,839
2025-03-04T13:23:00Z,290.4500,290.4500,289.2437,289.2437,226
2025-03-04T13:24:00Z,289.2000,289.2000,289.2000,289.2000,287
2025-03-04T13:25:00Z,289.2000,290.2700,289.2000,290.2700,529
2025-03-04T13:26:00Z,290.0000,290.0000,290.0000,290.0000,486
2025-03-04T13:28:00Z,290.0000,290.0000,290.0000,290.0000,145
2025-03-04T13:33:00Z,289.5000,289.5000,289.5000,289.5000,429
2025-03-04T13:34:00Z,289.5000,289.5000,289.5000,289.5000,632
2025-03-04T13:36:00Z,290.7000,290.7000,290.7000,290.7000,236
2025-03-04T13:39:00Z,290.1800,290.1800,290.1800,290.1800,339
2025-03-04T13:45:00Z,290.0000,290.0000,290.0000,290.0000,105
2025-03-04T13:58:00Z,289.8429,289.8429,289.8429,289.8429,421
2025-03-04T14:03:00Z,290.8400,290.9000,290.8400,290.9000,740
2025-03-04T14:06:00Z,290.8900,290.8900,290.8900,290.8900,244
2025-03-04T14:07:00Z,290.7500,290.7500,290.7500,290.7500,778
2025-03-04T14:10:00Z,290.7700,290.7700,290.7700,290.7700,279
